family,case_id,dimension,off_diagonal_pairs,coherence_magnitude,symmetry_gap_mean_abs,observed_hafnian_theta,predicted_uniform_theta,uniform_phase_residual,mean_edge_phase,mean_edge_magnitude,magnitude_coefficient_of_variation
coherent,coherent-01,6,15,0.9975975806,0.0000000000,0.0135521003,0.0112044338,0.0023476665,0.0037348113,1.0040622372,0.0266768784
coherent,coherent-02,6,15,0.9972351133,0.0000000000,-0.0152112823,-0.0182254693,0.0030141869,-0.0060751564,0.9997987242,0.0324639258
coherent,coherent-03,6,15,0.9992667082,0.0000000000,0.0280981999,0.0273325058,0.0007656941,0.0091108353,1.0117533388,0.0375046415
coherent,coherent-04,6,15,0.9987027228,0.0000000000,-0.0636651427,-0.0620491168,-0.0016160259,-0.0206830389,0.9990453981,0.0352044269
coherent,coherent-05,6,15,0.9978510589,0.0000000000,-0.0453683351,-0.0402747984,-0.0050935367,-0.0134249328,0.9846356881,0.0346003672
coherent,coherent-06,6,15,0.9981137847,0.0000000000,-0.0416529098,-0.0413799754,-0.0002729344,-0.0137933251,1.0171088176,0.0353348711
coherent,coherent-07,6,15,0.9989138525,0.0000000000,-0.0588373689,-0.0596821287,0.0008447598,-0.0198940429,1.0054266372,0.0322222786
coherent,coherent-08,6,15,0.9973098170,0.0000000000,-0.0134791714,-0.0100988857,-0.0033802856,-0.0033662952,0.9939695692,0.0301523143
coherent,coherent-09,6,15,0.9980920064,0.0000000000,0.0252513107,0.0253192020,-0.0000678914,0.0084397340,0.9984006860,0.0385477888
coherent,coherent-10,6,15,0.9976398260,0.0000000000,0.0613407603,0.0630517790,-0.0017110188,0.0210172597,1.0006664671,0.0292429597
coherent,coherent-11,6,15,0.9976900348,0.0000000000,-0.0676752421,-0.0681507989,0.0004755569,-0.0227169330,0.9862018809,0.0375040098
coherent,coherent-12,6,15,0.9987618854,0.0000000000,-0.0179805286,-0.0187785987,0.0007980701,-0.0062595329,1.0003588185,0.0414520531
coherent,coherent-13,6,15,0.9985435752,0.0000000000,-0.0235921419,-0.0242851104,0.0006929685,-0.0080950368,0.9929948914,0.0307566214
coherent,coherent-14,6,15,0.9990314619,0.0000000000,-0.0265230356,-0.0261126516,-0.0004103840,-0.0087042172,0.9916151567,0.0481604722
coherent,coherent-15,6,15,0.9989190673,0.0000000000,-0.0158299477,-0.0170347303,0.0012047826,-0.0056782434,0.9840555279,0.0454505052
coherent,coherent-16,6,15,0.9990037922,0.0000000000,-0.0344006080,-0.0345037238,0.0001031157,-0.0115012413,1.0147728955,0.0374902840
coherent,coherent-17,6,15,0.9985513359,0.0000000000,-0.0187478970,-0.0181375301,-0.0006103669,-0.0060458434,0.9825251374,0.0364059108
coherent,coherent-18,6,15,0.9982531019,0.0000000000,-0.0193048950,-0.0190974097,-0.0002074853,-0.0063658032,0.9859737116,0.0375448024
partial_coherence,partial_coherence-01,6,15,0.9674659358,0.0000000000,-0.1370230424,-0.1638442803,0.0268212379,-0.0546147601,1.0062978394,0.1405326359
partial_coherence,partial_coherence-02,6,15,0.9026769459,0.0000000000,0.1510162434,0.1769185594,-0.0259023160,0.0589728531,1.0352621358,0.1161819320
partial_coherence,partial_coherence-03,6,15,0.9496746431,0.0000000000,0.1794235606,0.2192632051,-0.0398396445,0.0730877350,0.9604920406,0.1557875673
partial_coherence,partial_coherence-04,6,15,0.9482783471,0.0000000000,0.5550875698,0.5939754902,-0.0388879204,0.1979918301,0.9730030513,0.1513349832
partial_coherence,partial_coherence-05,6,15,0.9207620071,0.0000000000,-0.0892671021,-0.1337448587,0.0444777565,-0.0445816196,0.9963838538,0.1082145368
partial_coherence,partial_coherence-06,6,15,0.9390752054,0.0000000000,-0.6512433304,-0.6119295292,-0.0393138012,-0.2039765097,1.0106454879,0.1625154607
partial_coherence,partial_coherence-07,6,15,0.9441556877,0.0000000000,0.4013698127,0.4070233114,-0.0056534987,0.1356744371,1.0182081604,0.1620939475
partial_coherence,partial_coherence-08,6,15,0.9579306443,0.0000000000,-0.4304129684,-0.5031957800,0.0727828116,-0.1677319267,1.0323256755,0.1213120258
partial_coherence,partial_coherence-09,6,15,0.9279291807,0.0000000000,-0.1918467551,-0.0954046565,-0.0964420986,-0.0318015522,1.0927408719,0.1967841392
partial_coherence,partial_coherence-10,6,15,0.9492074012,0.0000000000,-0.0361899088,0.0316774899,-0.0678673987,0.0105591633,0.9933008772,0.1350796103
partial_coherence,partial_coherence-11,6,15,0.9672972888,0.0000000000,0.2420773421,0.1477867701,0.0942905720,0.0492622567,0.9339622668,0.1818809397
partial_coherence,partial_coherence-12,6,15,0.9408065891,0.0000000000,-0.4064273237,-0.3709940771,-0.0354332466,-0.1236646924,0.9817594875,0.1795158451
partial_coherence,partial_coherence-13,6,15,0.9218345891,0.0000000000,-0.0430205192,-0.0553353687,0.0123148495,-0.0184451229,0.9906845027,0.1905721838
partial_coherence,partial_coherence-14,6,15,0.9735001241,0.0000000000,0.0610331964,0.0638419836,-0.0028087872,0.0212806612,0.9893150502,0.1661542131
partial_coherence,partial_coherence-15,6,15,0.9572866863,0.0000000000,0.1122258588,0.1245551240,-0.0123292652,0.0415183747,1.0076400853,0.1318385617
partial_coherence,partial_coherence-16,6,15,0.9673259888,0.0000000000,-0.0583834535,-0.0851827564,0.0267993029,-0.0283942521,1.0028571574,0.1370198728
partial_coherence,partial_coherence-17,6,15,0.9583843610,0.0000000000,-0.2772346190,-0.2269824116,-0.0502522074,-0.0756608039,0.9421845806,0.1300605875
partial_coherence,partial_coherence-18,6,15,0.9587353788,0.0000000000,0.0402305465,0.0101504735,0.0300800731,0.0033834912,1.0263617528,0.1048039770
low_coherence,low_coherence-01,6,15,0.1385563762,0.0000000000,-0.5750701572,3.0397659591,2.6683491909,1.0132553197,1.1351883732,0.3239610364
low_coherence,low_coherence-02,6,15,0.2489188435,0.0000000000,1.8246177454,-0.5635319796,2.3881497251,1.9065511092,1.0226745196,0.3570839910
low_coherence,low_coherence-03,6,15,0.2895341113,0.0000000000,-2.5521332595,-1.0523476219,-1.4997856376,-0.3507825406,1.1555473330,0.2835195194
low_coherence,low_coherence-04,6,15,0.1653650095,0.0000000000,1.9666791016,0.0409309467,1.9257481549,-2.0807514535,0.9790845497,0.3025817443
low_coherence,low_coherence-05,6,15,0.3308364901,0.0000000000,0.8937897985,-3.1025678347,-2.2868276741,-3.1285843806,0.8689979702,0.3676676189
low_coherence,low_coherence-06,6,15,0.1367401594,0.0000000000,2.3311499765,-1.4822691591,-2.4697661715,1.6003053827,0.9780064017,0.3409838589
low_coherence,low_coherence-07,6,15,0.1962899643,0.0000000000,1.6599916043,1.9031191813,-0.2431275770,2.7287681628,0.9046431540,0.3457140394
low_coherence,low_coherence-08,6,15,0.2871662468,0.0000000000,0.4259570472,-0.9236610478,1.3496180950,1.7865080865,1.0731091775,0.3429035041
low_coherence,low_coherence-09,6,15,0.2356985673,0.0000000000,-1.4046797097,2.9445901400,1.9339154575,0.9815300467,1.0441361279,0.3119717930
low_coherence,low_coherence-10,6,15,0.3924218749,0.0000000000,-1.1937239327,1.3855646083,-2.5792885409,0.4618548694,1.0755212862,0.2981526624
low_coherence,low_coherence-11,6,15,0.2523778645,0.0000000000,1.2040039899,0.8492963812,0.3547076087,0.2830987937,0.9068551239,0.3856937916
low_coherence,low_coherence-12,6,15,0.1496069824,0.0000000000,-0.7845626500,-1.2780444396,0.4934817896,-0.4260148132,1.1304068420,0.2521015744
low_coherence,low_coherence-13,6,15,0.2037148077,0.0000000000,-0.7015277921,-2.4014555794,1.6999277873,-0.8004851931,0.9274126476,0.3943224924
low_coherence,low_coherence-14,6,15,0.3517664809,0.0000000000,0.5753260262,0.4034385393,0.1718874869,0.1344795131,1.0711398413,0.3187089047
low_coherence,low_coherence-15,6,15,0.2281855269,0.0000000000,-0.7748194487,2.4119529887,3.0964128697,-1.2904107728,1.1029173738,0.3232470563
low_coherence,low_coherence-16,6,15,0.0685906396,0.0000000000,2.0442793087,1.9411469752,0.1031323335,-1.4473461107,1.0680720456,0.3570105799
low_coherence,low_coherence-17,6,15,0.4230537608,0.0000000000,-2.6641391058,2.1520961358,1.4669500655,-1.3770297238,1.1744087823,0.2407612490
low_coherence,low_coherence-18,6,15,0.1378807502,0.0000000000,-3.1377581833,0.6639410497,2.4814860741,2.3157087856,0.8831833909,0.3383778493
symmetry_perturbed,symmetry_perturbed-01,6,15,0.9920392750,0.3503708272,0.0376064464,0.0470693608,-0.0094629144,0.0156897869,0.9915325921,0.1166599249
symmetry_perturbed,symmetry_perturbed-02,6,15,0.9932199200,0.3645972411,0.1049496653,0.1188297125,-0.0138800472,0.0396099042,0.9879423667,0.0841135427
symmetry_perturbed,symmetry_perturbed-03,6,15,0.9879733724,0.3174863673,0.2460464357,0.2440313307,0.0020151050,0.0813437769,1.0076708379,0.0673720191
symmetry_perturbed,symmetry_perturbed-04,6,15,0.9883581874,0.3481831359,0.0509076442,0.0442235436,0.0066841007,0.0147411812,0.9715698594,0.0682782391
symmetry_perturbed,symmetry_perturbed-05,6,15,0.9583982479,0.3089742391,0.1331362075,0.1068906606,0.0262455469,0.0356302202,1.0273452261,0.0711738382
symmetry_perturbed,symmetry_perturbed-06,6,15,0.9857172022,0.2730140720,0.1375515228,0.1555381907,-0.0179866678,0.0518460636,0.9895470511,0.0850685887
symmetry_perturbed,symmetry_perturbed-07,6,15,0.9804505451,0.2619214671,0.1198724627,0.1234034292,-0.0035309665,0.0411344764,0.9886993748,0.0571945949
symmetry_perturbed,symmetry_perturbed-08,6,15,0.9896159752,0.3128510336,-0.0558843573,-0.0728085671,0.0169242098,-0.0242695224,1.0109963487,0.0853610566
symmetry_perturbed,symmetry_perturbed-09,6,15,0.9892875882,0.2595858588,0.2237769775,0.2171010335,0.0066759440,0.0723670112,1.0177619849,0.0601846893
symmetry_perturbed,symmetry_perturbed-10,6,15,0.9867199988,0.3384576231,-0.0451410114,-0.0491013407,0.0039603293,-0.0163671136,1.0171133360,0.0698428673
symmetry_perturbed,symmetry_perturbed-11,6,15,0.9841806371,0.3277169305,0.1955346753,0.2037367674,-0.0082020921,0.0679122558,1.0139966356,0.0748062228
symmetry_perturbed,symmetry_perturbed-12,6,15,0.9863817387,0.2720620084,0.2100477588,0.1938091297,0.0162386291,0.0646030432,0.9924315189,0.0850008932
symmetry_perturbed,symmetry_perturbed-13,6,15,0.9794741451,0.3361802153,0.0736481954,0.0567408602,0.0169073353,0.0189136201,1.0191541257,0.0810754653
symmetry_perturbed,symmetry_perturbed-14,6,15,0.9923118291,0.3253046175,0.0967598748,0.0838319868,0.0129278880,0.0279439956,1.0226762608,0.0627680905
symmetry_perturbed,symmetry_perturbed-15,6,15,0.9804805701,0.3476488768,-0.1261343887,-0.1286951128,0.0025607241,-0.0428983709,1.0117459585,0.0776578806
symmetry_perturbed,symmetry_perturbed-16,6,15,0.9884354388,0.2945466335,0.0638006577,0.0744604448,-0.0106597870,0.0248201483,0.9725661860,0.0975863669
symmetry_perturbed,symmetry_perturbed-17,6,15,0.9851513376,0.2780359135,-0.1018615642,-0.1174027494,0.0155411852,-0.0391342498,1.0198429106,0.0888234394
symmetry_perturbed,symmetry_perturbed-18,6,15,0.9902468257,0.3863168247,-0.0652178221,-0.0739330733,0.0087152511,-0.0246443578,1.0337241571,0.0771752184
