t,delta,side,vertex,sigma,probe_t,zeta_re,zeta_im,zeta_abs,triangle_side_gap
32.935061588,0.15,right,0,0.65,32.935061588,0.1579007899226183,0.09321277695078015,0.18336106796444748,0.058914045185849195
32.935061588,0.15,right,1,0.66,32.95506158800001,0.1576987281180891,0.117415680551176,0.1966095900238816,0.058914045185849195
32.935061588,0.15,right,2,0.64,32.95506158800001,0.13801017068019988,0.10769223908502527,0.1750554928310567,0.058914045185849195
32.935061588,0.15,left,0,0.35,32.935061588,-0.19565532205319663,-0.14153982798936082,0.24148401179994908,0.058914045185849195
32.935061588,0.15,left,1,0.36,32.95506158800001,-0.20290251551800217,-0.10135424324873374,0.22680853914272409,0.058914045185849195
32.935061588,0.15,left,2,0.33999999999999997,32.95506158800001,-0.23296850766529192,-0.12306558251124114,0.2634757354342602,0.058914045185849195
30.424876126,0.15,right,0,0.65,30.424876126,0.15232454078438223,-0.08396350509473068,0.17393284886117916,0.05369131333938032
30.424876126,0.15,right,1,0.66,30.444876126,0.1708003591905663,-0.07048172324291788,0.18477130732588795,0.05369131333938032
30.424876126,0.15,right,2,0.64,30.444876126,0.15275097735878596,-0.060736130677607976,0.16438290255909163,0.05369131333938032
30.424876126,0.15,left,0,0.35,30.424876126,-0.19222721595088488,0.121255885121612,0.2272758065189819,0.05369131333938032
30.424876126,0.15,left,1,0.36,30.444876126,-0.15895769598243892,0.13943175419494158,0.21144446833607183,0.05369131333938032
30.424876126,0.15,left,2,0.33999999999999997,30.444876126,-0.18657109538989217,0.15947531256627293,0.24544072390924593,0.05369131333938032
25.01085758,0.15,right,0,0.65,25.01085758,0.17676943434562914,0.05809254227872838,0.18607035332712069,0.03956917368789262
25.01085758,0.15,right,1,0.66,25.03085758,0.18141455226315303,0.08244444070635183,0.19926947979111967,0.03956917368789262
25.01085758,0.15,right,2,0.64,25.03085758,0.15980155939176688,0.07663000663772793,0.1772249878017731,0.03956917368789262
25.01085758,0.15,left,0,0.35,25.01085758,-0.21415583749833236,-0.07062794919223393,0.22550172935415133,0.03956917368789262
25.01085758,0.15,left,1,0.36,25.03085758,-0.20867985835737216,-0.03418651155466947,0.21146158245962896,0.03956917368789262
25.01085758,0.15,left,2,0.33999999999999997,25.03085758,-0.2403089448528323,-0.04402855035407068,0.2443090301699111,0.03956917368789262
30.424876126,0.01,right,0,0.51,30.424876126,0.00970043939944738,-0.006228727275384084,0.011528034004697622,0.00225867768807559
30.424876126,0.01,right,1,0.52,30.444876126,0.033920384735659795,0.009050895533048314,0.035107139025636024,0.00225867768807559
30.424876126,0.01,right,2,0.5,30.444876126,0.01217925172272725,0.022781567161288437,0.02583280811003423,0.00225867768807559
30.424876126,0.01,left,0,0.49,30.424876126,-0.012999717347849157,0.007205005681791609,0.014862865066958648,0.00225867768807559
30.424876126,0.01,left,1,0.5,30.444876126,0.01217925172272725,0.022781567161288437,0.02583280811003423,0.00225867768807559
30.424876126,0.01,left,2,0.48,30.444876126,-0.010175869879846223,0.03718099337253813,0.03854834102760177,0.00225867768807559
21.022039639,0.15,right,0,0.65,21.022039639,0.1524580039378621,-0.03247119111983027,0.15587758407627994,0.032924421890017236
21.022039639,0.15,right,1,0.66,21.042039639,0.16574819664264792,-0.016107517132188897,0.16652902689457366,0.032924421890017236
21.022039639,0.15,right,2,0.64,21.042039639,0.14731342705983475,-0.011764174591502191,0.14778241301295833,0.032924421890017236
21.022039639,0.15,left,0,0.35,21.022039639,-0.18223484707012522,0.04944019204999662,0.18882232939091836,0.032924421890017236
21.022039639,0.15,left,1,0.36,21.042039639,-0.16128295661964856,0.0716266862584254,0.1764725879006095,0.032924421890017236
21.022039639,0.15,left,2,0.33999999999999997,21.042039639,-0.1873300234034651,0.07992409459378032,0.20366737236233576,0.032924421890017236
32.935061588,0.1,right,0,0.6,32.935061588,0.10847288054562274,0.06579022159160641,0.1268649639220286,0.02778859563778746
32.935061588,0.1,right,1,0.61,32.95506158800001,0.10747286862051926,0.09204440333334375,0.14150120025821214,0.02778859563778746
32.935061588,0.1,right,2,0.59,32.95506158800001,0.08641988758670578,0.08086703868993604,0.11835486858164508,0.02778859563778746
32.935061588,0.1,left,0,0.4,32.935061588,-0.1260425802826476,-0.08860704155122474,0.15407121683419045,0.02778859563778746
32.935061588,0.1,left,1,0.41000000000000003,32.95506158800001,-0.13162888915754362,-0.051862734297920814,0.14147758716385303,0.02778859563778746
32.935061588,0.1,left,2,0.39,32.95506158800001,-0.15949826390054908,-0.07087893007972777,0.17453801567720464,0.02778859563778746
